iter	Logloss
0	0.6631078744
1	0.6362798237
2	0.6118058099
3	0.5905471743
4	0.5724322156
5	0.5550678699
6	0.5404542965
7	0.526467671
8	0.5147789215
9	0.5046863387
10	0.4945692152
11	0.4849152634
12	0.4775426689
13	0.4707524156
14	0.4639052523
15	0.4567726936
16	0.4505729935
17	0.4455922926
18	0.4380296078
19	0.4307262986
20	0.424753818
21	0.4186124716
22	0.4153689952
23	0.4102161099
24	0.4057740981
25	0.4021008449
26	0.3972176578
27	0.393785036
28	0.3912081747
29	0.3882596425
30	0.3852974036
31	0.3828874924
32	0.3806129556
33	0.3782499477
34	0.3758939159
35	0.3738612872
36	0.3721261194
37	0.370179792
38	0.3663858115
39	0.3644766276
40	0.3624101187
41	0.3601678411
42	0.3588698873
43	0.3571207703
44	0.3550908043
45	0.3532137933
46	0.3512609141
47	0.3497995965
48	0.3451708245
49	0.3437113652
50	0.3426618852
51	0.3409290911
52	0.3400080031
53	0.338861808
54	0.3380181459
55	0.3372252304
56	0.336083525
57	0.3352207625
58	0.3345899085
59	0.3337707961
60	0.3328683674
61	0.3319228029
62	0.3308994822
63	0.3290891169
64	0.3284473228
65	0.325246809
66	0.3245682442
67	0.3233031254
68	0.3225474205
69	0.3220442391
70	0.3211487977
71	0.3205564646
72	0.3200036119
73	0.3192156493
74	0.3184826457
75	0.3178636767
76	0.3172459953
77	0.3167915393
78	0.3163688955
79	0.3156898131
80	0.3146546215
81	0.3141846723
82	0.3127407407
83	0.3122451977
84	0.3117970145
85	0.3113364668
86	0.3109311275
87	0.3100778891
88	0.3097447091
89	0.3093891942
90	0.3087148797
91	0.308224919
92	0.3076780998
93	0.3071532702
94	0.306728565
95	0.3062974817
96	0.3056333581
97	0.3049621338
98	0.3044322687
99	0.3015963727
100	0.3005313798
101	0.300083997
102	0.2997981216
103	0.2994174546
104	0.2991670941
105	0.2987519178
106	0.2982325806
107	0.297691333
108	0.2973986794
109	0.2952442466
110	0.2946129844
111	0.2942179699
